periods, us = microseconds, measured at L 400
50 us * 9.2 / 6
50 us * 9.2 / 5
50 us * 9 / 4
50 us * 8 / 3
500 us * 5 / 16
500 us * 5.2 / 11
500 us * 6.2 / 9
500 us * 7.6 / 8
